1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:29:30,567 valid 050 5.364012e-01 81.419234 99.253035
2021-11-02 05:29:33,096 valid 100 5.368761e-01 81.518151 99.104196
2021-11-02 05:29:35,428 valid 150 5.433369e-01 81.456953 99.022391
2021-11-02 05:29:37,868 valid 200 5.538861e-01 80.881307 98.957593
2021-11-02 05:29:40,280 valid 250 5.407779e-01 81.255928 99.013470
2021-11-02 05:29:42,760 valid 300 5.383862e-01 81.300427 99.161525
2021-11-02 05:29:45,220 valid 350 5.393842e-01 81.318681 99.172433
2021-11-02 05:29:47,551 valid 400 5.387121e-01 81.451133 99.228121
2021-11-02 05:29:50,047 valid 450 5.394127e-01 81.385281 99.239785
2021-11-02 05:29:51,346 valid_acc 81.359999
2021-11-02 05:29:51,348 epoch 6 lr 2.477859e-02
2021-11-02 05:29:51,834 train 000 9.747465e-01 78.125000 96.875000
2021-11-02 05:30:07,804 train 050 8.873341e-01 78.860294 98.713235
2021-11-02 05:30:23,676 train 100 8.736554e-01 79.378094 98.669554
2021-11-02 05:30:39,610 train 150 8.543948e-01 79.687500 98.778974
2021-11-02 05:30:55,447 train 200 8.691703e-01 79.158893 98.670709
2021-11-02 05:31:11,454 train 250 8.735161e-01 78.828436 98.711404
2021-11-02 05:31:27,319 train 300 8.767942e-01 78.747924 98.660714
2021-11-02 05:31:43,243 train 350 8.724046e-01 78.837251 98.673433
2021-11-02 05:31:59,211 train 400 8.715585e-01 78.865337 98.721945
2021-11-02 05:32:15,035 train 450 8.719605e-01 78.869873 98.759701
2021-11-02 05:32:31,044 train 500 8.724116e-01 78.845434 98.783683
2021-11-02 05:32:47,041 train 550 8.746991e-01 78.811252 98.769283
2021-11-02 05:33:02,963 train 600 8.697879e-01 78.920549 98.791077
2021-11-02 05:33:18,851 train 650 8.706481e-01 78.907450 98.780722
2021-11-02 05:33:34,839 train 700 8.686736e-01 78.978691 98.789675
2021-11-02 05:33:50,736 train 750 8.666166e-01 79.019640 98.797437
2021-11-02 05:34:00,573 train_acc 79.056000
2021-11-02 05:34:00,775 valid 000 2.001277e-01 90.476189 100.000000
2021-11-02 05:34:03,220 valid 050 4.602380e-01 84.780579 99.253035
2021-11-02 05:34:05,785 valid 100 4.705387e-01 84.158416 99.057049
2021-11-02 05:34:08,228 valid 150 4.869206e-01 83.664459 99.116998
2021-11-02 05:34:10,730 valid 200 4.868640e-01 83.819000 99.004976
2021-11-02 05:34:13,310 valid 250 4.836750e-01 84.063745 98.899640
2021-11-02 05:34:15,676 valid 300 4.786306e-01 84.195538 99.034963
2021-11-02 05:34:18,284 valid 350 4.757411e-01 84.221950 99.131733
2021-11-02 05:34:20,670 valid 400 4.795658e-01 83.968649 99.097495
2021-11-02 05:34:23,185 valid 450 4.815988e-01 83.982684 99.123641
2021-11-02 05:34:24,403 valid_acc 84.000000
2021-11-02 05:34:24,404 epoch 7 lr 2.469896e-02
2021-11-02 05:34:24,885 train 000 9.374108e-01 84.375000 100.000000
2021-11-02 05:34:40,887 train 050 8.327815e-01 80.361520 98.988971
2021-11-02 05:34:56,755 train 100 8.450253e-01 79.996906 98.917079
2021-11-02 05:35:12,648 train 150 8.409456e-01 79.946192 98.903146
2021-11-02 05:35:28,569 train 200 8.355150e-01 79.912935 98.849502
2021-11-02 05:35:44,479 train 250 8.374020e-01 79.743526 98.842131
2021-11-02 05:36:00,450 train 300 8.255148e-01 80.113164 98.873547
2021-11-02 05:36:16,450 train 350 8.227536e-01 80.217236 98.927172
2021-11-02 05:36:32,352 train 400 8.286619e-01 79.964152 98.928460
2021-11-02 05:36:48,239 train 450 8.232751e-01 80.124030 98.901746
2021-11-02 05:37:04,175 train 500 8.230363e-01 80.149077 98.911552
2021-11-02 05:37:19,978 train 550 8.208526e-01 80.251815 98.947936
2021-11-02 05:37:35,861 train 600 8.224448e-01 80.173669 98.949667
2021-11-02 05:37:51,758 train 650 8.230623e-01 80.131528 98.912730
2021-11-02 05:38:07,695 train 700 8.220354e-01 80.155581 98.912268
